"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"100",128,12808,1,NA,"  BORCAN","1","A3","3","ZACUSCA TRADITIONALA (BORCAN  270-315 G) "
"101",128,12809,1,NA,"  BORCAN","2","A3","3","ZARZAVAT PENTRU CIORBE (BORCAN  DE CCA. 720 ML) "
"102",128,12810,1,NA,"  BORCAN","1","A3","3","SPANAC (BORCAN 580-720 ML)  "
"103",128,12811,1,NA,"   CUTIE","1","A3","3","PORUMB BOABE (CUTIE 250-425 G)  "
"104",128,12812,1,NA,"  BORCAN","1","A3","3","PIURE DE LEGUME (EXCL. CARNE),  PENTRU COPII (NESTLE"" , ""HIPP"") - BORCAN 190-220 G"""
"105",129,NA,1,NA,""," ","","3","FRUCTE  "
"106",129,13101,1,1,"    KG"," ","A4","3","MERE  "
"107",129,13402,1,1,"    KG"," ","A4","3","PIERSICI  "
"108",129,13501,1,1,"    KG"," ","A4","3","PRUNE PROASPETE  "
"109",129,13601,1,1,"    KG"," ","A4","3","STRUGURI DE MASA  "
"110",129,13801,1,NA,"    KG"," ","A4","3","NECTARINE  "
"111",129,14002,1,NA,"    KG"," ","A9","3","FRUCTE CONGELATE - VRAC  (CAPSUNI, FRUCTE PADURE ETC.) "
"112",139,NA,1,NA,""," ","","3","CITRICE, ALTE FRUCTE MERI-  DIONALE SI TROPICALE "
"113",139,13901,1,NA,"    KG"," ","A5","3","LAMII  "
"114",139,13902,1,NA,"    KG"," ","A5","3","PORTOCALE  "
"115",139,13903,1,NA,"    KG"," ","A5","3","BANANE  "
"116",139,13904,1,NA,"    KG"," ","A5","3","GRAPEFRUIT  "
"117",139,13905,1,NA,"    KG"," ","A5","3","MASLINE NEGRE - CAL. I  "
"118",139,13906,1,NA,"    KG"," ","A5","3","STAFIDE - VRAC  "
"119",139,13907,1,NA,"    KG"," ","A5","3","KIWI  "
"120",139,13908,1,NA,"    KG"," ","A5","3","MANDARINE  "
"121",141,NA,1,NA,""," ","","3","ULEI COMESTIBIL  "
"122",141,14105,1,NA,"   LITRU"," ","A3","3","ULEI DE FLOAREA SOARELUI,  DUBLU RAFINAT "
"123",141,14106,1,NA,"   LITRU"," ","A3","3","ULEI DE FLOAREA SOARELUI,  DUBLU RAFINAT TIP FLORIOL""""  SAU BUNICA"""""
"124",141,14107,1,NA,"  STICLA","2","A3","3","ULEI DE MASLINE (STICLA DE  500 ML) "
"125",141,14108,1,NA,"   LITRU"," ","A3","3","ULEI DE PORUMB EXTRAS LA RECE  "
"126",142,NA,1,NA,""," ","","3","MARGARINA  "
"127",142,14201,1,NA,"   CUTIE","2","A3","3","MARGARINA (CUTIE PLASTIC DE  500 G) "
"128",142,14202,1,NA,"  PACHET","2","A3","3","MARGARINA - INDIGENA (PACHET  DE 250 G) "
"129",142,14203,1,NA,"   CUTIE","2","A3","3","MARGARINA - CUTIE PLASTIC  250 G (WIESANA, DELMA) "
"130",143,NA,1,NA,""," ","","3","COMPOT DE FRUCTE  "
"131",143,14301,1,NA,"  BORCAN","2","A3","3","COMPOT DE PIERSICI - INDIGEN  (BORCAN DE 720 ML) "
"132",143,14304,1,NA,"   CUTIE","2","A3","3","COMPOT DE ANANAS - IMPORT  (CUTIE METALICA DE 565 ML) "
"133",143,14306,1,NA,"  BORCAN","2","A3","3","COMPOT DE PRUNE - INDIGEN  (BORCAN DE CCA. 720 ML) "
"134",143,14307,1,NA,"  BORCAN","2","A3","3","COMPOT DE CIRESE - INDIGEN  (BORCAN DE CCA. 720 ML) "
"135",143,14308,1,NA,"  BORCAN","2","A3","3","COMPOT DE VISINE - INDIGEN  (BORCAN DE CCA. 720 ML) "
"136",143,14309,1,NA,"HIPP) - BORCAN""","  BORCAN","1","A3","PIURE DE FRUCTE (BANANA+FRUCTE  INDIGENE), PENTRU COPII  (NESTLE"""
"137",144,NA,1,NA,""," ","","3","DULCEATA, GEM  "
"138",144,14401,1,NA,"  BORCAN","1","A3","3","DULCEATA DE VISINE - INDIGENA  (BORCAN DE 360-450 ML) "
"139",144,14402,1,NA,"  BORCAN","1","A3","3","DULCEATA DE CIRESE - INDIGENA  (BORCAN DE 360-450 ML) "
"140",144,14403,1,NA,"  BORCAN","1","A3","3","GEM DE CAISE - INDIGEN (BORCAN  DE 360-450 ML) "
"141",144,14404,1,NA,"  BORCAN","1","A3","3","GEM DE PRUNE - INDIGEN (BORCAN  DE 360-450 ML) "
"142",144,14405,1,NA,"  BORCAN","1","A3","3","GEM DE VISINE - INDIGEN  (BORCAN DE 360-450 ML) "
"143",144,14406,1,NA,"  BORCAN","1","A3","3","GEM DE PIERSICI - INDIGEN  (BORCAN DE 360-450 ML) "
"144",144,14408,1,NA,"  BORCAN","1","A3","3","GEM DE CAPSUNI - INDIGEN  (BORCAN DE 360-450 ML) "
"145",145,NA,1,NA,""," ","","3","SIROP DE FRUCTE  "
"146",145,14506,1,NA,"  STICLA","2","A3","3","SIROP NATURAL DE FRUCTE  (STICLA DE 500 ML) "
"147",145,14508,1,NA,"   CUTIE"," ","A3","3","NECTAR DE FRUCTE (CUTIE CARTON  DE 1000 ML) "
"148",145,14509,1,NA,"  STICLA","2","A3","3","BAUTURA PENTRU COPII TEDY""""  (STICLA DE CCA. 300 ML) "
"149",145,14510,1,NA,"   CUTIE"," ","A3","3","SUC NATURAL DE FRUCTE (CUTIE  CARTON 1000 ML), 100% NATURAL  FARA ZAHAR"
"150",146,NA,1,NA,""," ","","3","ZAHAR  "
