nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
cora pulpe de pui afumate,15.81 Lei/kilogram,Carne,20170803,cora,v1,,
Pulpe de Pui cu os Puiul Fericit Agricola,19.49 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo carne tocata din piept de pui,22.85 Lei/kilogram,Carne,20170803,cora,v1,,
cora muschiulet porc,26.99 Lei/kilogram,Carne,20170803,cora,v1,15906,159
cora cubulete porc extra,18.99 Lei/kilogram,Carne,20170803,cora,v1,,
cora rasol de porc feliat,9.99 Lei/kilogram,Carne,20170803,cora,v1,,
Piept de Pui cu os Fragedo,14.06 Lei/kilogram,Carne,20170803,cora,v1,16105,161
Agricola inner file,18.99 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo pulpe de pui dezosate fara piele,18.69 Lei/kilogram,Carne,20170803,cora,v1,,
cora carnati porc,16.99 Lei/kilogram,Carne,20170803,cora,v1,,
Pui Grill Puiul Fericit Agricola,19.49 Lei/kilogram,Carne,20170803,cora,v1,,
cora slanina taraneasca,16.99 Lei/kilogram,Carne,20170803,cora,v1,,
cora carne tocata porc si vita,14.99 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo pulpe de pui superioare,11.86 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo Family Pack piept de pui dezosat fara piele,21.69 Lei/kilogram,Carne,20170803,cora,v1,,
cora carnati porc,15.99 Lei/kilogram,Carne,20170803,cora,v1,16415,164
Fragedo Family Pack pulpa pui cu os,12.19 Lei/kilogram,Carne,20170803,cora,v1,,
Integra sorici de porc parlit 200g,5.90 Lei/buc,Carne,20170803,cora,v1,,
cora cotlet de porc cu os,16.99 Lei/kilogram,Carne,20170803,cora,v1,15916,159
Fragedo pui grill,11.86 Lei/kilogram,Carne,20170803,cora,v1,,
cora carne tocata de manzat,19.33 Lei/kilogram,Carne,20170803,cora,v1,15811,158
Avicola Focsani piept de pui dezosat,16.99 Lei/kilogram,Carne,20170803,cora,v1,,
Carnati Traditionali Merguez,16.99 Lei/kilogram,Carne,20170803,cora,v1,,
cora ceafa porc fara os,20.99 Lei/kilogram,Carne,20170803,cora,v1,15916,159
